
International Seismological Centre
ISC: Focal Mechanism solutions

Any use of data from the ISC should be cited. The correct format for citations may be found on our citation page.

The ISC Bulletin has now been completely rebuilt for the period 1964-2010. As a result, the ISC hypocentre solutions and magnitudes for the entire period of 1964-latest are based on the ak135 velocity model and the location procedure that is currently used in operations. The Bulletin has been cleaned up and a considerable number of previously unavailable data of permanent and temporary seismic deployments have been added.

Once the search has completed, a compressed KML file will be available to view the results in Google Earth.

Make an event map
Search summary:
Database: ISC Bulletin
Search type: Rectangular search
Latitude range: 35 to 39
Longitude range: 139 to 143
Start date: 2012-09-01 00:00:00
End date: 2020-10-01 00:00:00
Events found: 3446

Data on or after 2017/10/01 have not been reviewed by the ISC.

DATA_TYPE FOCAL_MECHANISM_SOLUTIONS
ISC Bulletin
--EVENT--|------------------------------ORIGIN------------------------------|FM AUTHOR|----MOMENT---|-----------MOMENT TENSOR COMPONENTS---------|---------------NODAL PLANES--------------|-----------------------PRINCIPAL AXES-------------------------|
 EVENT_ID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,CENTROID,AUTHOR   ,EX,MO   ,MW  ,EX,MRR   ,MTT   ,MPP   ,MRT   ,MTP   ,MPR   ,STRIKE,DIP  ,RAKE   ,STRIKE,DIP  ,RAKE   ,EX,T_VAL ,T_PL ,T_AZM ,P_VAL ,P_PL ,P_AZM ,N_VAL ,N_PL ,N_AZM 
601863636,NIED     ,2012-09-16,05:25:00   , 36.9000, 141.4000,  5.0,        ,NIED     ,14,1.620, 3.4,  ,      ,      ,      ,      ,      ,      , 38.00,53.00, -68.00,184.00,43.00,-116.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
606031449,NIED     ,2012-09-16,07:43:00   , 37.0000, 141.3000, 11.0,        ,NIED     ,14,1.680, 3.4,  ,      ,      ,      ,      ,      ,      , 71.00,59.00, -42.00,186.00,55.00,-141.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603676144,NIED     ,2012-09-17,00:51:00   , 37.4000, 142.4000,  5.0,        ,NIED     ,14,2.290, 3.5,  ,      ,      ,      ,      ,      ,      ,  3.00,26.00,-109.00,204.00,66.00, -81.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601863750,NIED     ,2012-09-18,07:47:00   , 37.7000, 141.8000, 53.0,        ,NIED     ,15,1.470, 4.0,  ,      ,      ,      ,      ,      ,      , 44.00,58.00, 101.00,204.00,33.00,  73.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601863772,NIED     ,2012-09-18,19:11:00   , 35.9000, 140.6000, 47.0,        ,NIED     ,14,7.460, 3.8,  ,      ,      ,      ,      ,      ,      ,154.00,67.00, -57.00,275.00,39.00,-142.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601863772,JMA      ,2012-09-18,19:11:02.20, 35.8500, 140.5400, 35.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,233.00,24.00, 155.00,346.00,80.00,  68.00,  ,      ,50.00,232.00,      ,32.00, 94.00,      ,21.00,350.00
606032638,NIED     ,2012-09-19,06:06:00   , 37.9000, 142.3000, 32.0,        ,NIED     ,15,1.150, 4.0,  ,      ,      ,      ,      ,      ,      ,117.00,19.00, -27.00,233.00,82.00,-107.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601863832,NIED     ,2012-09-19,14:30:00   , 38.6000, 141.7000, 59.0,        ,NIED     ,14,3.800, 3.7,  ,      ,      ,      ,      ,      ,      ,  7.00,62.00, 111.00,148.00,35.00,  56.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603677478,NIED     ,2012-09-20,00:08:00   , 37.4000, 141.7000, 35.0,        ,NIED     ,14,2.290, 3.5,  ,      ,      ,      ,      ,      ,      , 31.00,77.00,  91.00,206.00,13.00,  85.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601863862,NIED     ,2012-09-20,03:24:00   , 37.0000, 141.3000, 44.0,        ,NIED     ,14,2.990, 3.6,  ,      ,      ,      ,      ,      ,      , 22.00,73.00,  82.00,228.00,19.00, 115.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
